OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790378116598|48453001913|Census Tract 19.13|12027127|481870|G5020|S|20740378104040|48453001602|Census Tract 16.02|2637501|246743|G5020|S|0|80
20790378116598|48453001913|Census Tract 19.13|12027127|481870|G5020|S|20740378104062|48453001604|Census Tract 16.04|3035085|309973|G5020|S|0|23631
20790378116598|48453001913|Census Tract 19.13|12027127|481870|G5020|S|20740378116598|48453001913|Census Tract 19.13|12038535|529279|G5020|S|12027127|458159
207903717221110|48453001914|Census Tract 19.14|13677504|0|G5020|S|207403717221110|48453001914|Census Tract 19.14|13768153|0|G5020|S|13677504|0
207903717220950|48453001915|Census Tract 19.15|6181361|0|G5020|S|207403717221110|48453001914|Census Tract 19.14|13768153|0|G5020|S|89807|0
207903717220950|48453001915|Census Tract 19.15|6181361|0|G5020|S|207403717220950|48453001915|Census Tract 19.15|6203816|0|G5020|S|6091554|0
207903717220833|48453001916|Census Tract 19.16|13455400|72|G5020|S|207403717220833|48453001916|Census Tract 19.16|13495233|72|G5020|S|13455400|72
207903717220830|48453001917|Census Tract 19.17|8095859|0|G5020|S|20740378116527|48453001908|Census Tract 19.08|32367762|502|G5020|S|3253|0
207903717220830|48453001917|Census Tract 19.17|8095859|0|G5020|S|207403717220830|48453001917|Census Tract 19.17|8092606|0|G5020|S|8092606|0
207903717220846|48453001918|Census Tract 19.18|8595834|4044|G5020|S|20740378116556|48453001910|Census Tract 19.10|6727799|232622|G5020|S|1355|0
207903717220846|48453001918|Census Tract 19.18|8595834|4044|G5020|S|20740378116598|48453001913|Census Tract 19.13|12038535|529279|G5020|S|11408|4044
207903717220846|48453001918|Census Tract 19.18|8595834|4044|G5020|S|207403717220846|48453001918|Census Tract 19.18|8619366|0|G5020|S|8583071|0
207903717220850|48453001919|Census Tract 19.19|4432254|0|G5020|S|20740378116556|48453001910|Census Tract 19.10|6727799|232622|G5020|S|12146|0
